,type,game_id,home_team,away_team,week,season,state_of_game,game_url,home_score,away_score,h_win,a_win,h_totfd,a_totfd,h_totyds,a_totyds,h_pyds,a_pyds,h_ryds,a_ryds,h_pen,a_pen,h_penyds,a_penyds,h_trnovr,a_trnovr,h_pt,a_pt,h_ptyds,a_ptyds,h_ptavg,a_ptavg,h_top,a_top,net_win,net_totfd,net_totyds,net_pyds,net_ryds,net_pen,net_penyds,net_trnovr,net_pt,net_ptyds,net_ptavg,net_top
28,reg,2017091710,DEN,DAL,2,2017,POST,http://www.nfl.com/liveupdate/game-center/2017091710/2017091710_gtd.json,42,17,1,0,26,16,380,268,202,228,178,40,8,8,61,69,2,2,3,5,129,249,37,42,33.833333333333336,26.16666666666667,1,10,112,-26,138,0,-8,0,-2,-120,-5,7.666666666666664
29,reg,2017091713,ATL,GB,2,2017,POST,http://www.nfl.com/liveupdate/game-center/2017091713/2017091713_gtd.json,34,23,1,0,19,24,364,367,223,308,141,59,6,10,34,70,0,2,4,3,165,119,41,40,28.61666666666667,31.38333333333333,1,-5,-3,-85,82,-4,-36,-2,1,46,1,-2.7666666666666586
30,reg,2017091800,NYG,DET,2,2017,POST,http://www.nfl.com/liveupdate/game-center/2017091800/2017091800_gtd.json,10,24,0,1,14,12,270,257,208,119,62,138,7,6,50,50,1,1,5,5,239,209,28,40,27.216666666666665,32.78333333333333,-1,2,13,89,-76,1,0,0,0,30,-12,-5.566666666666666
31,reg,2017092100,SF,LA,3,2017,POST,http://www.nfl.com/liveupdate/game-center/2017092100/2017092100_gtd.json,39,41,0,1,25,26,421,418,308,292,113,126,10,7,55,52,2,2,2,2,83,113,42,52,30.28333333333333,29.716666666666665,-1,-1,3,16,-13,3,3,0,0,-30,-10,0.5666666666666664
32,reg,2017092400,JAX,BAL,3,2017,POST,http://www.nfl.com/liveupdate/game-center/2017092400/2017092400_gtd.json,44,7,1,0,24,12,410,186,244,52,166,134,9,10,70,88,0,3,3,7,150,311,50,41,34.05,25.95,1,12,224,192,32,-1,-18,-3,-4,-161,9,8.099999999999998
33,reg,2017092405,IND,CLE,3,2017,POST,http://www.nfl.com/liveupdate/game-center/2017092405/2017092405_gtd.json,31,28,1,0,16,25,335,346,243,235,92,111,11,10,99,113,1,3,7,7,320,347,43,47,33.45,26.55,1,-9,-11,8,-19,1,-14,-2,0,-27,-4,6.900000000000002
34,reg,2017092409,PHI,NYG,3,2017,POST,http://www.nfl.com/liveupdate/game-center/2017092409/2017092409_gtd.json,27,24,1,0,24,21,354,415,161,366,193,49,9,10,103,137,1,2,4,4,182,154,41,31,37.53333333333333,22.466666666666665,1,3,-61,-205,144,-1,-34,-1,0,28,10,15.066666666666666
35,reg,2017092408,NYJ,MIA,3,2017,POST,http://www.nfl.com/liveupdate/game-center/2017092408/2017092408_gtd.json,20,6,1,0,16,16,336,225,233,195,103,30,10,8,94,51,1,2,5,7,243,333,46,40,36.13333333333333,23.86666666666667,1,0,111,38,73,2,43,-1,-2,-90,6,12.266666666666662
36,reg,2017092401,BUF,DEN,3,2017,POST,http://www.nfl.com/liveupdate/game-center/2017092401/2017092401_gtd.json,26,16,1,0,16,21,272,366,197,255,75,111,8,10,69,79,0,2,5,3,226,125,38,28,30.43333333333333,29.566666666666666,1,-5,-94,-58,-36,-2,-10,-2,2,101,10,0.8666666666666636
37,reg,2017092402,CAR,NO,3,2017,POST,http://www.nfl.com/liveupdate/game-center/2017092402/2017092402_gtd.json,13,34,0,1,18,21,288,362,156,213,132,149,1,1,5,10,3,0,3,3,129,150,32,46,28.85,31.15,-1,-3,-74,-57,-17,0,-5,3,0,-21,-14,-2.299999999999997
38,reg,2017092403,CHI,PIT,3,2017,POST,http://www.nfl.com/liveupdate/game-center/2017092403/2017092403_gtd.json,23,17,1,0,18,19,304,282,84,212,220,70,10,6,73,40,2,2,6,5,267,203,42,37,33.98333333333333,27.566666666666666,1,-1,22,-128,150,4,33,0,1,64,5,6.416666666666661
39,reg,2017092404,DET,ATL,3,2017,POST,http://www.nfl.com/liveupdate/game-center/2017092404/2017092404_gtd.json,26,30,0,1,21,26,324,428,253,277,71,151,9,8,98,68,0,3,5,2,239,91,40,41,27.41666666666667,32.583333333333336,-1,-5,-104,-24,-80,1,30,-3,3,148,-1,-5.166666666666664
40,reg,2017092406,MIN,TB,3,2017,POST,http://www.nfl.com/liveupdate/game-center/2017092406/2017092406_gtd.json,34,17,1,0,25,20,494,342,369,316,125,26,5,7,53,37,0,3,3,4,121,163,40,41,37.766666666666666,22.23333333333333,1,5,152,53,99,-2,16,-3,-1,-42,-1,15.533333333333335
41,reg,2017092407,NE,HOU,3,2017,POST,http://www.nfl.com/liveupdate/game-center/2017092407/2017092407_gtd.json,36,33,1,0,21,23,396,417,337,292,59,125,5,10,69,60,1,2,6,4,272,234,39,45,26.36666666666667,33.63333333333333,1,-2,-21,45,-66,-5,9,-1,2,38,-6,-7.266666666666662
42,reg,2017092410,TEN,SEA,3,2017,POST,http://www.nfl.com/liveupdate/game-center/2017092410/2017092410_gtd.json,33,27,1,0,21,24,420,433,225,364,195,69,5,11,45,98,0,0,6,8,341,388,48,40,32.68333333333333,27.316666666666666,1,-3,-13,-139,126,-6,-53,0,-2,-47,8,5.366666666666664
43,reg,2017092411,GB,CIN,3,2017,POST,http://www.nfl.com/liveupdate/game-center/2017092411/2017092411_gtd.json,27,24,1,0,22,21,344,301,280,191,64,110,4,7,33,68,1,1,6,6,296,296,44,38,29.35,34.28333333333333,1,1,43,89,-46,-3,-35,0,0,0,6,-4.93333333333333
44,reg,2017092412,LAC,KC,3,2017,POST,http://www.nfl.com/liveupdate/game-center/2017092412/2017092412_gtd.json,10,24,0,1,24,16,330,311,226,122,104,189,8,13,61,122,3,0,5,5,250,249,40,47,29.566666666666666,30.43333333333333,-1,8,19,104,-85,-5,-61,3,0,1,-7,-0.8666666666666636
45,reg,2017092413,WAS,OAK,3,2017,POST,http://www.nfl.com/liveupdate/game-center/2017092413/2017092413_gtd.json,27,10,1,0,18,7,472,128,356,96,116,32,10,4,77,35,2,3,5,7,221,369,43,49,38.1,21.9,1,11,344,260,84,6,42,-1,-2,-148,-6,16.200000000000003
46,reg,2017092500,ARI,DAL,3,2017,POST,http://www.nfl.com/liveupdate/game-center/2017092500/2017092500_gtd.json,17,28,0,1,22,15,332,273,283,174,49,99,6,9,50,76,0,0,6,7,271,311,38,44,36.25,23.75,-1,7,59,109,-50,-3,-26,0,-1,-40,-6,12.5
47,reg,2017092800,GB,CHI,4,2017,POST,http://www.nfl.com/liveupdate/game-center/2017092800/2017092800_gtd.json,35,14,1,0,17,20,260,308,169,205,91,103,7,8,55,62,0,4,5,3,238,147,46,47,28.15,31.85,1,-3,-48,-36,-12,-1,-7,-4,2,91,-1,-3.700000000000003
48,reg,2017100100,MIA,NO,4,2017,POST,http://www.nfl.com/liveupdate/game-center/2017100100/2017100100_gtd.json,0,20,0,1,11,22,186,347,128,261,58,86,11,8,90,71,1,0,6,3,263,141,40,44,25.53333333333333,34.46666666666667,-1,-11,-161,-133,-28,3,19,1,3,122,-4,-8.933333333333337
49,reg,2017100105,HOU,TEN,4,2017,POST,http://www.nfl.com/liveupdate/game-center/2017100105/2017100105_gtd.json,57,14,1,0,33,9,445,195,272,109,173,86,3,6,20,88,1,5,2,5,122,246,60,48,39.68333333333333,20.316666666666666,1,24,250,163,87,-3,-68,-4,-3,-124,12,19.366666666666664
50,reg,2017100108,NYJ,JAX,4,2017,POST,http://www.nfl.com/liveupdate/game-center/2017100108/2017100108_gtd.json,23,20,1,0,18,20,471,311,215,136,256,175,10,6,70,47,2,1,6,8,262,361,40,44,34.4,35.13333333333333,1,-2,160,79,81,4,23,1,-2,-99,-4,-0.7333333333333343
51,reg,2017100107,NE,CAR,4,2017,POST,http://www.nfl.com/liveupdate/game-center/2017100107/2017100107_gtd.json,30,33,0,1,24,28,373,444,293,304,80,140,7,1,55,33,0,2,3,1,135,35,37,35,31.11666666666667,28.88333333333333,-1,-4,-71,-11,-60,6,22,-2,2,100,2,2.2333333333333414
52,reg,2017100106,MIN,DET,4,2017,POST,http://www.nfl.com/liveupdate/game-center/2017100106/2017100106_gtd.json,7,14,0,1,15,19,284,251,197,154,87,97,2,6,10,60,3,0,5,7,201,325,40,44,23.55,36.45,-1,-4,33,43,-10,-4,-50,3,-2,-124,-4,-12.900000000000002
53,reg,2017100101,ATL,BUF,4,2017,POST,http://www.nfl.com/liveupdate/game-center/2017100101/2017100101_gtd.json,17,23,0,1,25,15,391,281,242,164,149,117,4,9,45,55,3,0,3,4,120,189,40,45,31.25,28.75,-1,10,110,78,32,-5,-10,3,-1,-69,-5,2.5
54,reg,2017100102,BAL,PIT,4,2017,POST,http://www.nfl.com/liveupdate/game-center/2017100102/2017100102_gtd.json,9,26,0,1,18,22,288,381,206,208,82,173,6,8,55,60,3,1,5,4,222,150,41,38,24.516666666666666,35.48333333333333,-1,-4,-93,-2,-91,-2,-5,2,1,72,3,-10.966666666666661
55,reg,2017100103,CLE,CIN,4,2017,POST,http://www.nfl.com/liveupdate/game-center/2017100103/2017100103_gtd.json,7,31,0,1,16,25,215,350,170,264,45,86,4,8,28,66,1,1,6,4,295,191,37,47,24.966666666666665,35.03333333333333,-1,-9,-135,-94,-41,-4,-38,0,2,104,-10,-10.066666666666666
56,reg,2017100104,DAL,LA,4,2017,POST,http://www.nfl.com/liveupdate/game-center/2017100104/2017100104_gtd.json,30,35,0,1,22,24,440,412,251,244,189,168,4,7,45,41,2,0,3,2,141,108,40,54,29.466666666666665,30.53333333333333,-1,-2,28,7,21,-3,4,2,1,33,-14,-1.0666666666666664
57,reg,2017100110,LAC,PHI,4,2017,POST,http://www.nfl.com/liveupdate/game-center/2017100110/2017100110_gtd.json,24,26,0,1,18,26,400,454,342,240,58,214,9,9,39,58,1,0,4,2,191,95,39,46,20.7,39.3,-1,-8,-54,102,-156,0,-19,1,2,96,-7,-18.599999999999998
58,reg,2017100111,TB,NYG,4,2017,POST,http://www.nfl.com/liveupdate/game-center/2017100111/2017100111_gtd.json,25,23,1,0,20,24,434,379,323,288,111,91,4,1,19,0,0,0,4,5,199,205,50,34,25.78333333333333,34.21666666666667,1,-4,55,35,20,3,19,0,-1,-6,16,-8.433333333333337
59,reg,2017100109,ARI,SF,4,2017,POST,http://www.nfl.com/liveupdate/game-center/2017100109/2017100109_gtd.json,18,15,1,0,25,20,368,305,317,210,51,95,10,13,80,113,1,1,6,7,293,351,42,48,36.25,33.21666666666667,1,5,63,107,-44,-3,-33,0,-1,-58,-6,3.0333333333333314
60,reg,2017100112,DEN,OAK,4,2017,POST,http://www.nfl.com/liveupdate/game-center/2017100112/2017100112_gtd.json,16,10,1,0,16,11,298,254,155,230,143,24,6,7,40,75,0,1,6,6,271,306,44,45,32.95,27.05,1,5,44,-75,119,-1,-35,-1,0,-35,-1,5.900000000000002
61,reg,2017100113,SEA,IND,4,2017,POST,http://www.nfl.com/liveupdate/game-center/2017100113/2017100113_gtd.json,46,18,1,0,22,16,477,237,283,139,194,98,6,5,45,31,2,2,1,6,35,250,35,42,32.2,27.8,1,6,240,144,96,1,14,0,-5,-215,-7,4.400000000000002
62,reg,2017100200,KC,WAS,4,2017,POST,http://www.nfl.com/liveupdate/game-center/2017100200/2017100200_gtd.json,29,20,1,0,29,15,429,331,261,220,168,111,3,7,15,44,0,1,3,4,105,169,28,37,37.15,22.85,1,14,98,41,57,-4,-29,-1,-1,-64,-9,14.299999999999997
63,reg,2017100500,TB,NE,5,2017,POST,http://www.nfl.com/liveupdate/game-center/2017100500/2017100500_gtd.json,14,19,0,1,26,23,409,402,319,289,90,113,9,12,70,108,0,2,6,4,271,188,37,40,29.16666666666667,30.83333333333333,-1,3,7,30,-23,-3,-38,-2,2,83,-3,-1.6666666666666572
64,reg,2017100801,CLE,NYJ,5,2017,POST,http://www.nfl.com/liveupdate/game-center/2017100801/2017100801_gtd.json,14,17,0,1,22,14,419,212,279,178,140,34,6,9,60,80,3,1,2,6,113,309,49,44,34.43333333333333,25.566666666666666,-1,8,207,101,106,-3,-20,2,-4,-196,5,8.866666666666664
65,reg,2017100802,DET,CAR,5,2017,POST,http://www.nfl.com/liveupdate/game-center/2017100802/2017100802_gtd.json,24,27,0,1,19,16,242,362,192,334,50,28,1,11,10,100,1,0,5,5,206,234,39,42,24.61666666666667,35.38333333333333,-1,3,-120,-142,22,-10,-90,1,0,-28,-3,-10.766666666666662
66,reg,2017100803,IND,SF,5,2017,POST,http://www.nfl.com/liveupdate/game-center/2017100803/2017100803_gtd.json,26,23,1,0,25,23,447,402,288,336,159,66,7,10,62,77,1,0,4,6,191,274,48,46,37.28333333333333,31.08333333333333,1,2,45,-48,93,-3,-15,1,-2,-83,2,6.200000000000003
67,reg,2017100804,MIA,TEN,5,2017,POST,http://www.nfl.com/liveupdate/game-center/2017100804/2017100804_gtd.json,16,10,1,0,12,14,178,188,78,119,100,69,5,11,23,77,2,2,9,10,459,549,49,50,29.75,30.25,1,-2,-10,-41,31,-6,-54,0,-1,-90,-1,-0.5
68,reg,2017100800,CIN,BUF,5,2017,POST,http://www.nfl.com/liveupdate/game-center/2017100800/2017100800_gtd.json,20,16,1,0,18,17,388,221,323,139,65,82,6,6,71,71,3,1,4,7,187,315,37,39,30.016666666666666,29.98333333333333,1,1,167,184,-17,0,0,2,-3,-128,-2,0.03333333333333499
69,reg,2017100805,NYG,LAC,5,2017,POST,http://www.nfl.com/liveupdate/game-center/2017100805/2017100805_gtd.json,22,27,0,1,18,21,335,382,183,258,152,124,10,11,67,87,2,1,8,6,353,333,37,46,28.25,31.75,-1,-3,-47,-75,28,-1,-20,1,2,20,-9,-3.5
