,type,game_id,home_team,away_team,week,season,game_url,home_score,away_score,h_win,lastN_net_totfd,lastN_net_totyds,lastN_net_pyds,lastN_net_ryds,lastN_net_pen,lastN_net_penyds,lastN_net_trnover,lastN_net_pt,lastN_net_ptyds,lastN_net_ptavg,lastN_net_top
77,reg,2018100800,NO,WAS,5,2018,http://www.nfl.com/liveupdate/game-center/2018100800/2018100800_gtd.json,43,19,1,-1.0,-97.5,5.5,-103.0,0.25,-10.5,1.75,1.5,83.5,0.25,-0.42083333333333073
78,reg,2018101100,NYG,PHI,6,2018,http://www.nfl.com/liveupdate/game-center/2018101100/2018101100_gtd.json,13,34,0,-1.5,-57.25,-61.75,4.5,1.75,6.25,-0.25,0.0,23.0,2.0,-2.779166666666668
79,reg,2018101400,ATL,TB,6,2018,http://www.nfl.com/liveupdate/game-center/2018101400/2018101400_gtd.json,34,29,1,-7.25,-40.75,-58.0,17.25,1.25,18.5,-0.75,0.5,41.0,4.5,2.0208333333333304
80,reg,2018101408,WAS,CAR,6,2018,http://www.nfl.com/liveupdate/game-center/2018101408/2018101408_gtd.json,23,17,1,-0.75,21.0,111.5,-90.5,1.25,28.25,1.0,-1.0,-38.0,-5.5,-6.050000000000003
81,reg,2018101407,OAK,SEA,6,2018,http://www.nfl.com/liveupdate/game-center/2018101407/2018101407_gtd.json,3,27,0,1.25,82.0,66.5,15.5,0.25,15.5,-0.25,-1.0,-32.25,6.75,-4.958333333333329
82,reg,2018101406,NYJ,IND,6,2018,http://www.nfl.com/liveupdate/game-center/2018101406/2018101406_gtd.json,42,34,1,0.25,81.75,12.75,69.0,0.5,-20.75,0.25,-1.75,-93.75,-1.25,1.4500000000000002
83,reg,2018101405,MIN,ARI,6,2018,http://www.nfl.com/liveupdate/game-center/2018101405/2018101405_gtd.json,27,17,1,-6.5,-97.25,-94.0,-3.25,-0.25,-8.0,-1.5,1.75,102.25,3.0,-6.924999999999997
84,reg,2018101401,CIN,PIT,6,2018,http://www.nfl.com/liveupdate/game-center/2018101401/2018101401_gtd.json,21,28,0,-4.0,23.5,-49.25,72.75,2.0,28.0,-3.25,0.25,-0.5,-2.25,4.8916666666666675
85,reg,2018101402,CLE,LAC,6,2018,http://www.nfl.com/liveupdate/game-center/2018101402/2018101402_gtd.json,14,38,0,-2.0,-37.25,5.5,-42.75,-0.5,-9.0,-1.0,1.5,46.25,-6.0,-0.38333333333333197
86,reg,2018101403,HOU,BUF,6,2018,http://www.nfl.com/liveupdate/game-center/2018101403/2018101403_gtd.json,20,13,1,-3.0,-37.0,7.75,-44.75,1.0,1.25,0.0,0.25,31.25,13.75,-3.650000000000002
87,reg,2018101404,MIA,CHI,6,2018,http://www.nfl.com/liveupdate/game-center/2018101404/2018101404_gtd.json,31,28,1,0.25,52.0,56.75,-4.75,0.5,3.5,-0.75,0.0,20.25,-4.5,3.6166666666666645
88,reg,2018101409,DEN,LA,6,2018,http://www.nfl.com/liveupdate/game-center/2018101409/2018101409_gtd.json,20,23,0,-8.5,-99.75,-133.25,33.5,-2.25,-41.0,1.25,-0.25,6.75,-2.5,-7.750000000000001
89,reg,2018101411,TEN,BAL,6,2018,http://www.nfl.com/liveupdate/game-center/2018101411/2018101411_gtd.json,0,21,0,2.0,-6.0,2.0,-8.0,-1.0,-4.5,0.5,-0.25,1.5,-1.5,1.8208333333333409
90,reg,2018101410,DAL,JAX,6,2018,http://www.nfl.com/liveupdate/game-center/2018101410/2018101410_gtd.json,40,7,1,0.75,-46.75,-59.5,12.75,-5.0,-61.75,-1.5,0.5,36.25,-0.5,-2.558333333333338
91,reg,2018101412,NE,KC,6,2018,http://www.nfl.com/liveupdate/game-center/2018101412/2018101412_gtd.json,43,40,1,6.75,198.5,104.25,94.25,3.5,38.5,0.75,-1.75,-108.25,-5.0,7.033333333333335
92,reg,2018101500,GB,SF,6,2018,http://www.nfl.com/liveupdate/game-center/2018101500/2018101500_gtd.json,33,30,1,-6.25,-47.5,-58.25,10.75,-1.0,3.25,-2.0,2.0,88.75,7.5,-4.358333333333335
93,reg,2018101800,ARI,DEN,7,2018,http://www.nfl.com/liveupdate/game-center/2018101800/2018101800_gtd.json,10,45,0,6.5,57.5,36.75,20.75,5.75,47.0,1.75,1.0,46.5,1.75,8.758333333333333
94,reg,2018102100,LAC,TEN,7,2018,http://www.nfl.com/liveupdate/game-center/2018102100/2018102100_gtd.json,20,19,1,8.5,112.25,85.0,27.25,2.0,27.25,0.0,-2.25,-89.0,15.75,7.870833333333331
95,reg,2018102104,JAX,HOU,7,2018,http://www.nfl.com/liveupdate/game-center/2018102104/2018102104_gtd.json,7,20,0,2.0,50.75,-40.25,91.0,4.0,46.5,-1.0,-0.75,-38.5,-0.75,13.683333333333335
96,reg,2018102108,PHI,CAR,7,2018,http://www.nfl.com/liveupdate/game-center/2018102108/2018102108_gtd.json,17,21,0,3.0,76.5,139.5,-63.0,3.25,36.25,3.0,-1.0,-33.0,0.5,-4.5041666666666655
97,reg,2018102107,NYJ,MIN,7,2018,http://www.nfl.com/liveupdate/game-center/2018102107/2018102107_gtd.json,17,37,0,-1.5,40.0,-24.5,64.5,-0.25,-0.75,-1.0,-1.5,-108.5,-1.75,10.391666666666664
98,reg,2018102102,CHI,NE,7,2018,http://www.nfl.com/liveupdate/game-center/2018102102/2018102102_gtd.json,31,38,0,-8.5,-97.25,-31.75,-65.5,0.0,1.75,0.25,1.5,60.0,12.5,-10.8
99,reg,2018102103,IND,BUF,7,2018,http://www.nfl.com/liveupdate/game-center/2018102103/2018102103_gtd.json,37,5,1,-4.5,-35.0,-38.0,3.0,3.0,27.75,0.0,0.5,17.0,3.25,5.024999999999996
100,reg,2018102109,TB,CLE,7,2018,http://www.nfl.com/liveupdate/game-center/2018102109/2018102109_gtd.json,26,23,1,1.75,34.5,-4.25,38.75,-2.75,-34.75,0.75,-1.0,-26.75,2.25,-4.758333333333333
101,reg,2018102106,MIA,DET,7,2018,http://www.nfl.com/liveupdate/game-center/2018102106/2018102106_gtd.json,21,32,0,-1.0,106.5,162.0,-55.5,1.25,10.25,0.0,-0.25,-5.0,-20.0,-2.7749999999999995
102,reg,2018102101,BAL,NO,7,2018,http://www.nfl.com/liveupdate/game-center/2018102101/2018102101_gtd.json,23,24,0,-7.25,-65.5,-60.5,-5.0,-0.25,-13.75,-1.0,0.75,38.25,8.75,-5.929166666666667
103,reg,2018102110,WAS,DAL,7,2018,http://www.nfl.com/liveupdate/game-center/2018102110/2018102110_gtd.json,20,17,1,-6.0,-41.75,-34.75,-7.0,-0.75,22.0,0.0,0.5,9.75,-12.25,-1.5500000000000016
104,reg,2018102111,SF,LA,7,2018,http://www.nfl.com/liveupdate/game-center/2018102111/2018102111_gtd.json,10,39,0,7.25,59.0,38.75,20.25,1.25,-3.75,1.0,-1.5,-60.25,5.0,8.208333333333329
105,reg,2018102105,KC,CIN,7,2018,http://www.nfl.com/liveupdate/game-center/2018102105/2018102105_gtd.json,45,10,1,7.0,-1.25,14.25,-15.5,-2.75,-27.25,1.0,-1.5,-63.5,-6.0,2.4583333333333326
106,reg,2018102200,ATL,NYG,7,2018,http://www.nfl.com/liveupdate/game-center/2018102200/2018102200_gtd.json,23,20,1,-2.75,6.75,14.5,-7.75,-0.75,-18.75,-1.75,0.0,4.0,10.25,-0.2541666666666691
107,reg,2018102500,HOU,MIA,8,2018,http://www.nfl.com/liveupdate/game-center/2018102500/2018102500_gtd.json,42,23,1,0.5,-23.75,10.0,-33.75,-1.0,-9.0,1.5,-0.5,-11.25,10.0,-4.991666666666666
108,reg,2018102800,JAX,PHI,8,2018,http://www.nfl.com/liveupdate/game-center/2018102800/2018102800_gtd.json,18,24,0,7.0,115.25,51.75,63.5,1.0,26.5,-0.5,-1.5,-68.5,6.5,9.504166666666668
109,reg,2018102805,KC,DEN,8,2018,http://www.nfl.com/liveupdate/game-center/2018102805/2018102805_gtd.json,30,23,1,9.5,96.25,26.75,69.5,1.25,7.5,-2.25,-0.75,-49.5,-20.25,9.833333333333336
110,reg,2018102807,PIT,CLE,8,2018,http://www.nfl.com/liveupdate/game-center/2018102807/2018102807_gtd.json,33,18,1,-5.75,-94.25,-131.25,37.0,-0.75,-27.0,0.75,1.0,73.5,6.75,-8.616666666666667
