,type,game_id,home_team,away_team,week,season,state_of_game,game_url,home_score,away_score,h_win,a_win,h_totfd,a_totfd,h_totyds,a_totyds,h_pyds,a_pyds,h_ryds,a_ryds,h_pen,a_pen,h_penyds,a_penyds,h_trnovr,a_trnovr,h_pt,a_pt,h_ptyds,a_ptyds,h_ptavg,a_ptavg,h_top,a_top
223,reg,2018121700,CAR,NO,15,2018,POST,http://www.nfl.com/liveupdate/game-center/2018121700/2018121700_gtd.json,9,12,0,1,13,21,247,346,149,191,98,155,4,9,48,80,2,2,6,4,239,168,38,42,24:51,35:09
224,reg,2018122200,TEN,WAS,16,2018,POST,http://www.nfl.com/liveupdate/game-center/2018122200/2018122200_gtd.json,25,16,1,0,20,17,291,292,192,131,99,161,2,8,10,49,0,2,4,2,169,107,42,46,26:57,33:03
225,reg,2018122201,LAC,BAL,16,2018,POST,http://www.nfl.com/liveupdate/game-center/2018122201/2018122201_gtd.json,10,22,0,1,14,15,198,361,147,202,51,159,8,4,69,40,3,1,7,3,291,150,39,39,28:35,31:25
226,reg,2018122305,CLE,CIN,16,2018,POST,http://www.nfl.com/liveupdate/game-center/2018122305/2018122305_gtd.json,26,18,1,0,23,15,493,209,347,107,146,102,6,3,57,15,0,0,3,5,88,219,22,37,35:31,24:29
227,reg,2018122306,DAL,TB,16,2018,POST,http://www.nfl.com/liveupdate/game-center/2018122306/2018122306_gtd.json,27,20,1,0,16,27,232,383,152,320,80,63,10,9,67,72,0,2,4,2,166,102,42,45,24:41,35:19
228,reg,2018122307,DET,MIN,16,2018,POST,http://www.nfl.com/liveupdate/game-center/2018122307/2018122307_gtd.json,9,27,0,1,17,16,223,340,137,240,86,100,7,11,55,78,0,0,6,6,249,288,40,45,31:28,28:32
229,reg,2018122308,NE,BUF,16,2018,POST,http://www.nfl.com/liveupdate/game-center/2018122308/2018122308_gtd.json,24,12,1,0,20,14,390,289,117,217,273,72,5,3,49,29,3,3,6,6,259,230,41,32,35:38,24:22
230,reg,2018122309,NYJ,GB,16,2018,POST,http://www.nfl.com/liveupdate/game-center/2018122309/2018122309_gtd.json,38,44,0,1,23,35,370,540,323,413,47,127,16,10,172,86,0,1,4,3,176,113,44,34,29:18,34:19
231,reg,2018122310,PHI,HOU,16,2018,POST,http://www.nfl.com/liveupdate/game-center/2018122310/2018122310_gtd.json,32,30,1,0,25,25,519,371,462,309,57,62,11,10,105,61,3,1,2,4,96,161,34,38,33:45,26:15
232,reg,2018122304,CAR,ATL,16,2018,POST,http://www.nfl.com/liveupdate/game-center/2018122304/2018122304_gtd.json,10,24,0,1,29,16,436,427,295,233,141,194,10,4,86,41,4,2,3,5,128,235,40,44,37:29,22:31
233,reg,2018122300,IND,NYG,16,2018,POST,http://www.nfl.com/liveupdate/game-center/2018122300/2018122300_gtd.json,28,27,1,0,27,22,402,392,353,309,49,83,6,6,29,24,1,1,4,3,186,145,47,47,28:19,31:41
234,reg,2018122302,MIA,JAX,16,2018,POST,http://www.nfl.com/liveupdate/game-center/2018122302/2018122302_gtd.json,7,17,0,1,11,19,183,244,121,118,62,126,10,10,95,97,2,1,6,5,278,188,39,35,25:15,34:45
235,reg,2018122311,ARI,LA,16,2018,POST,http://www.nfl.com/liveupdate/game-center/2018122311/2018122311_gtd.json,9,31,0,1,15,33,263,461,159,192,104,269,7,6,54,66,0,1,5,2,246,103,44,51,22:56,37:04
236,reg,2018122312,SF,CHI,16,2018,POST,http://www.nfl.com/liveupdate/game-center/2018122312/2018122312_gtd.json,9,14,0,1,15,20,279,325,232,235,47,90,6,4,45,30,1,2,4,3,181,119,45,33,24:30,35:30
237,reg,2018122313,NO,PIT,16,2018,POST,http://www.nfl.com/liveupdate/game-center/2018122313/2018122313_gtd.json,31,28,1,0,24,26,370,429,313,364,57,65,9,6,91,79,1,2,3,2,141,98,47,39,28:40,31:20
238,reg,2018122314,SEA,KC,16,2018,POST,http://www.nfl.com/liveupdate/game-center/2018122314/2018122314_gtd.json,38,31,1,0,31,22,464,419,254,265,210,154,3,8,20,76,0,2,3,3,104,144,35,44,35:02,24:58
239,reg,2018122400,OAK,DEN,16,2018,POST,http://www.nfl.com/liveupdate/game-center/2018122400/2018122400_gtd.json,27,14,1,0,16,19,273,300,159,200,114,100,6,11,50,91,0,2,5,6,225,306,45,23,30:08,29:52
240,reg,2018123001,BUF,MIA,17,2018,POST,http://www.nfl.com/liveupdate/game-center/2018123001/2018123001_gtd.json,42,17,1,0,23,17,381,225,215,126,166,99,3,4,24,35,1,4,3,5,111,175,34,33,30:18,29:42
241,reg,2018123010,TB,ATL,17,2018,POST,http://www.nfl.com/liveupdate/game-center/2018123010/2018123010_gtd.json,32,34,0,1,22,27,433,489,341,380,92,109,3,9,30,85,1,1,4,5,202,245,44,43,25:14,34:46
242,reg,2018123008,NYG,DAL,17,2018,POST,http://www.nfl.com/liveupdate/game-center/2018123008/2018123008_gtd.json,35,36,0,1,20,23,441,419,298,368,143,51,11,6,78,46,2,1,2,3,94,116,47,32,29:08,30:52
243,reg,2018123007,NO,CAR,17,2018,POST,http://www.nfl.com/liveupdate/game-center/2018123007/2018123007_gtd.json,14,33,0,1,17,25,294,374,110,263,184,111,6,2,94,10,1,0,5,3,210,164,42,49,26:34,33:26
244,reg,2018123006,NE,NYJ,17,2018,POST,http://www.nfl.com/liveupdate/game-center/2018123006/2018123006_gtd.json,38,3,1,0,24,12,375,239,244,135,131,104,4,4,30,30,0,3,4,5,159,237,40,42,32:13,27:47
245,reg,2018123003,HOU,JAX,17,2018,POST,http://www.nfl.com/liveupdate/game-center/2018123003/2018123003_gtd.json,20,3,1,0,23,6,342,119,208,89,134,30,2,8,15,68,1,2,7,9,295,449,40,44,35:07,24:53
246,reg,2018123002,GB,DET,17,2018,POST,http://www.nfl.com/liveupdate/game-center/2018123002/2018123002_gtd.json,0,31,0,1,9,25,175,402,129,272,46,130,5,3,38,34,1,0,7,4,317,161,39,40,23:06,36:54
247,reg,2018123012,WAS,PHI,17,2018,POST,http://www.nfl.com/liveupdate/game-center/2018123012/2018123012_gtd.json,0,24,0,1,8,25,89,360,68,231,21,129,2,5,15,25,1,1,5,3,224,123,44,34,16:41,43:19
248,reg,2018123013,DEN,LAC,17,2018,POST,http://www.nfl.com/liveupdate/game-center/2018123013/2018123013_gtd.json,9,23,0,1,19,17,370,276,288,160,82,116,11,6,99,51,4,4,6,5,252,234,35,38,31:48,28:12
249,reg,2018123004,KC,OAK,17,2018,POST,http://www.nfl.com/liveupdate/game-center/2018123004/2018123004_gtd.json,35,3,1,0,18,20,409,292,310,165,99,127,4,4,50,22,1,4,1,4,28,182,28,40,26:04,33:56
250,reg,2018123005,MIN,CHI,17,2018,POST,http://www.nfl.com/liveupdate/game-center/2018123005/2018123005_gtd.json,10,24,0,1,12,17,164,332,101,163,63,169,3,11,30,102,0,0,5,4,257,175,52,43,22:52,37:08
251,reg,2018123000,BAL,CLE,17,2018,POST,http://www.nfl.com/liveupdate/game-center/2018123000/2018123000_gtd.json,26,24,1,0,24,18,463,426,167,376,296,50,10,4,65,35,1,3,4,4,196,180,38,40,38:30,21:30
252,reg,2018123014,LA,SF,17,2018,POST,http://www.nfl.com/liveupdate/game-center/2018123014/2018123014_gtd.json,48,32,1,0,28,22,377,391,222,264,155,127,6,5,57,41,0,4,3,2,130,99,43,44,31:50,28:10
253,reg,2018123009,PIT,CIN,17,2018,POST,http://www.nfl.com/liveupdate/game-center/2018123009/2018123009_gtd.json,16,13,1,0,18,9,343,196,278,71,65,125,9,9,70,85,1,0,5,6,189,278,38,43,34:22,25:38
254,reg,2018123015,SEA,ARI,17,2018,POST,http://www.nfl.com/liveupdate/game-center/2018123015/2018123015_gtd.json,27,24,1,0,16,12,291,198,109,113,182,85,1,3,10,20,1,2,8,5,330,247,27,45,29:09,30:51
255,reg,2018123011,TEN,IND,17,2018,POST,http://www.nfl.com/liveupdate/game-center/2018123011/2018123011_gtd.json,17,33,0,1,11,24,258,436,165,278,93,158,9,12,75,96,3,2,6,4,272,191,45,45,19:47,40:13
