,type,game_id,home_team,away_team,week,season,state_of_game,game_url,home_score,away_score,h_win,a_win,h_totfd,a_totfd,h_totyds,a_totyds,h_pyds,a_pyds,h_ryds,a_ryds,h_pen,a_pen,h_penyds,a_penyds,h_trnovr,a_trnovr,h_pt,a_pt,h_ptyds,a_ptyds,h_ptavg,a_ptavg,h_top,a_top
34,reg,2017092409,PHI,NYG,3,2017,POST,http://www.nfl.com/liveupdate/game-center/2017092409/2017092409_gtd.json,27,24,1,0,24,21,354,415,161,366,193,49,9,10,103,137,1,2,4,4,182,154,41,31,37.53333333333333,22.466666666666665
35,reg,2017092408,NYJ,MIA,3,2017,POST,http://www.nfl.com/liveupdate/game-center/2017092408/2017092408_gtd.json,20,6,1,0,16,16,336,225,233,195,103,30,10,8,94,51,1,2,5,7,243,333,46,40,36.13333333333333,23.866666666666667
36,reg,2017092401,BUF,DEN,3,2017,POST,http://www.nfl.com/liveupdate/game-center/2017092401/2017092401_gtd.json,26,16,1,0,16,21,272,366,197,255,75,111,8,10,69,79,0,2,5,3,226,125,38,28,30.433333333333334,29.566666666666666
37,reg,2017092402,CAR,NO,3,2017,POST,http://www.nfl.com/liveupdate/game-center/2017092402/2017092402_gtd.json,13,34,0,1,18,21,288,362,156,213,132,149,1,1,5,10,3,0,3,3,129,150,32,46,28.85,31.15
38,reg,2017092403,CHI,PIT,3,2017,POST,http://www.nfl.com/liveupdate/game-center/2017092403/2017092403_gtd.json,23,17,1,0,18,19,304,282,84,212,220,70,10,6,73,40,2,2,6,5,267,203,42,37,33.983333333333334,27.566666666666666
39,reg,2017092404,DET,ATL,3,2017,POST,http://www.nfl.com/liveupdate/game-center/2017092404/2017092404_gtd.json,26,30,0,1,21,26,324,428,253,277,71,151,9,8,98,68,0,3,5,2,239,91,40,41,27.416666666666668,32.583333333333336
40,reg,2017092406,MIN,TB,3,2017,POST,http://www.nfl.com/liveupdate/game-center/2017092406/2017092406_gtd.json,34,17,1,0,25,20,494,342,369,316,125,26,5,7,53,37,0,3,3,4,121,163,40,41,37.766666666666666,22.233333333333334
41,reg,2017092407,NE,HOU,3,2017,POST,http://www.nfl.com/liveupdate/game-center/2017092407/2017092407_gtd.json,36,33,1,0,21,23,396,417,337,292,59,125,5,10,69,60,1,2,6,4,272,234,39,45,26.366666666666667,33.63333333333333
42,reg,2017092410,TEN,SEA,3,2017,POST,http://www.nfl.com/liveupdate/game-center/2017092410/2017092410_gtd.json,33,27,1,0,21,24,420,433,225,364,195,69,5,11,45,98,0,0,6,8,341,388,48,40,32.68333333333333,27.316666666666666
43,reg,2017092411,GB,CIN,3,2017,POST,http://www.nfl.com/liveupdate/game-center/2017092411/2017092411_gtd.json,27,24,1,0,22,21,344,301,280,191,64,110,4,7,33,68,1,1,6,6,296,296,44,38,29.35,34.28333333333333
44,reg,2017092412,LAC,KC,3,2017,POST,http://www.nfl.com/liveupdate/game-center/2017092412/2017092412_gtd.json,10,24,0,1,24,16,330,311,226,122,104,189,8,13,61,122,3,0,5,5,250,249,40,47,29.566666666666666,30.433333333333334
45,reg,2017092413,WAS,OAK,3,2017,POST,http://www.nfl.com/liveupdate/game-center/2017092413/2017092413_gtd.json,27,10,1,0,18,7,472,128,356,96,116,32,10,4,77,35,2,3,5,7,221,369,43,49,38.1,21.9
46,reg,2017092500,ARI,DAL,3,2017,POST,http://www.nfl.com/liveupdate/game-center/2017092500/2017092500_gtd.json,17,28,0,1,22,15,332,273,283,174,49,99,6,9,50,76,0,0,6,7,271,311,38,44,36.25,23.75
47,reg,2017092800,GB,CHI,4,2017,POST,http://www.nfl.com/liveupdate/game-center/2017092800/2017092800_gtd.json,35,14,1,0,17,20,260,308,169,205,91,103,7,8,55,62,0,4,5,3,238,147,46,47,28.15,31.85
48,reg,2017100100,MIA,NO,4,2017,POST,http://www.nfl.com/liveupdate/game-center/2017100100/2017100100_gtd.json,0,20,0,1,11,22,186,347,128,261,58,86,11,8,90,71,1,0,6,3,263,141,40,44,25.533333333333335,34.46666666666667
