,type,game_id,home_team,away_team,week,season,lastN_net_totfd,lastN_net_totyds,lastN_net_pyds,lastN_net_ryds,lastN_net_pen,lastN_net_penyds,lastN_net_trnover,lastN_net_pt,lastN_net_ptyds,lastN_net_ptavg,lastN_net_top,,N = 6 Weeks
44,reg,2018092312,SEA,DAL,3,2018,-4,-55.66666667,-21.83333333,-33.83333333,0.166666667,5.833333333,0.5,2.5,125.1666667,-2.5,-3.997222222,,
45,reg,2018092311,ARI,CHI,3,2018,-4.166666667,-68.33333333,-62,-6.333333333,-1.333333333,-19.5,0.333333333,0.833333333,56.16666667,0.666666667,-1.808333333,,
46,reg,2018092313,DET,NE,3,2018,-2.5,14.16666667,52,-37.83333333,3,36.16666667,0.5,0,-15.83333333,-13.66666667,-0.627777778,,
47,reg,2018092400,TB,PIT,3,2018,-1.333333333,0.333333333,12.66666667,-12.33333333,-0.666666667,-15,0.833333333,-1.5,-51.5,4.833333333,-3.638888889,,
48,reg,2018092700,LA,MIN,4,2018,2.666666667,49.83333333,2.833333333,47,-2.166666667,-14.83333333,0.166666667,-2.5,-87.16666667,5.666666667,0.65,,
49,reg,2018093005,JAX,NYJ,4,2018,4.5,61.16666667,67.5,-6.333333333,1.666666667,22.83333333,-0.333333333,-0.666666667,-60.33333333,-5,0.213888889,,
50,reg,2018093006,NE,MIA,4,2018,4,-3.5,-30.5,27,-4.833333333,-42.16666667,-0.5,0,-4.333333333,3.833333333,1.466666667,,
51,reg,2018093007,TEN,PHI,4,2018,-2,-3.5,-13,9.5,-3.666666667,-30,-0.666666667,-0.5,-30.33333333,1,-1.822222222,,
52,reg,2018093004,IND,HOU,4,2018,1.166666667,-27.83333333,-0.166666667,-27.66666667,-3,-25.16666667,-0.833333333,-2,-97.5,3.333333333,-1.613888889,,
53,reg,2018093003,GB,BUF,4,2018,1.333333333,39.33333333,42.33333333,-3,0.833333333,7.5,1.5,-0.5,-24.83333333,0.166666667,1.25,,
54,reg,2018093002,DAL,DET,4,2018,-2.166666667,-59.66666667,-102.3333333,42.66666667,0.5,7,0.166666667,0.333333333,24.16666667,8.5,-0.277777778,,
55,reg,2018093001,CHI,TB,4,2018,-5.5,-158.5,-165,6.5,0.833333333,6.5,-0.833333333,2.5,124.1666667,-2,3.066666667,,
56,reg,2018093000,ATL,CIN,4,2018,-0.666666667,46.16666667,44.33333333,1.833333333,1.333333333,6.666666667,-1,-0.166666667,-3.166666667,-4,1.772222222,,
57,reg,2018093008,ARI,SEA,4,2018,0.333333333,-8.833333333,-8.833333333,0,-1.333333333,-25.5,0.833333333,-1.666666667,-58.33333333,0,1.966666667,,
58,reg,2018093009,OAK,CLE,4,2018,1.666666667,39.16666667,47.5,-8.333333333,1.166666667,20,0.333333333,-2.833333333,-110.6666667,2.333333333,2.963888889,,
59,reg,2018093011,NYG,NO,4,2018,-3.833333333,-33.66666667,-47.66666667,14,-1.833333333,-21.66666667,-0.166666667,1.333333333,38,-9.166666667,-0.622222222,,
60,reg,2018093010,LAC,SF,4,2018,-1,17,39.66666667,-22.66666667,-0.666666667,-14.83333333,0,1,49.5,-8.333333333,1.138888889,,
61,reg,2018093012,PIT,BAL,4,2018,0.333333333,50.66666667,40.16666667,10.5,1.666666667,25.5,0.833333333,-0.166666667,-9.166666667,3.166666667,-0.786111111,,
62,reg,2018100100,DEN,KC,4,2018,-2.333333333,-16.5,-53,36.5,0.833333333,5,1.5,1.666666667,56.16666667,-3.166666667,1.088888889,,
63,reg,2018100400,NE,IND,5,2018,2.5,32.66666667,-14.16666667,46.83333333,-2.5,-17.16666667,0.333333333,0.333333333,16.83333333,-2.833333333,3.241666667,,
64,reg,2018100700,BUF,TEN,5,2018,-1.166666667,-54.33333333,-40,-14.33333333,2.166666667,19.33333333,0.166666667,0.166666667,9.166666667,-0.666666667,-3.236111111,,
65,reg,2018100707,PIT,ATL,5,2018,1.833333333,-3.833333333,-4.833333333,1,0,-3.5,1.166666667,0.333333333,5.5,2.166666667,0.927777778,,
66,reg,2018100706,NYJ,DEN,5,2018,-5.666666667,-83.33333333,-37.83333333,-45.5,0.666666667,2.5,-0.166666667,1.333333333,87.33333333,3.166666667,-1.644444444,,
67,reg,2018100705,KC,JAX,5,2018,3,33.83333333,27.83333333,6,-1.666666667,-24.5,-1.833333333,-2.166666667,-67.33333333,8.166666667,0.486111111,,
68,reg,2018100704,DET,GB,5,2018,1.833333333,35.83333333,51.5,-15.66666667,-0.666666667,-10.66666667,-0.5,-0.833333333,-43.66666667,-7,-1.375,,
69,reg,2018100703,CLE,BAL,5,2018,-5.333333333,-21.83333333,-57,35.16666667,0.833333333,10,0.833333333,2.333333333,100,2.333333333,-2.297222222,,
70,reg,2018100701,CAR,NYG,5,2018,5,11.33333333,-25.33333333,36.66666667,0.666666667,-1.5,-0.5,-1,-45,2.833333333,-0.213888889,,
71,reg,2018100702,CIN,MIA,5,2018,8.666666667,64,37.66666667,26.33333333,-2.5,-7.833333333,0,-0.666666667,-56,-2.166666667,3.647222222,,
72,reg,2018100708,LAC,OAK,5,2018,3,18.5,14.16666667,4.333333333,-0.833333333,-18.16666667,-1.5,0.166666667,7.166666667,-7.666666667,-1.483333333,,
73,reg,2018100710,SF,ARI,5,2018,9,148.8333333,85.66666667,63.16666667,0.5,18.16666667,-0.166666667,-2,-128,-1.166666667,1.533333333,,
74,reg,2018100709,PHI,MIN,5,2018,-1.333333333,-39,-57.33333333,18.33333333,1.833333333,20.5,0.833333333,0,29.16666667,5.5,1.827777778,,
75,reg,2018100711,SEA,LA,5,2018,-7.5,-147.8333333,-127.8333333,-20,2.833333333,26.66666667,-0.166666667,3.666666667,166.8333333,0.833333333,-2.616666667,,
76,reg,2018100712,HOU,DAL,5,2018,1.333333333,43.33333333,57.33333333,-14,1.5,0.666666667,0.166666667,0.333333333,9.833333333,-1.5,0.569444444,,
77,reg,2018100800,NO,WAS,5,2018,3.5,60.16666667,59.5,0.666666667,-0.166666667,-0.333333333,-0.5,-1.833333333,-85,3.666666667,1.597222222,,
78,reg,2018101100,NYG,PHI,6,2018,-2.666666667,5.333333333,3,2.333333333,-3.5,-33.83333333,-0.333333333,-0.166666667,-24,-1.666666667,-2.658333333,,
79,reg,2018101400,ATL,TB,6,2018,-1,-40,-48.66666667,8.666666667,0.166666667,10.83333333,-2,1.333333333,46.66666667,-9.333333333,0.45,,
80,reg,2018101408,WAS,CAR,6,2018,-1.5,8.833333333,45.16666667,-36.33333333,0.666666667,12.33333333,0.333333333,0.666666667,23.66666667,-3,-0.188888889,,
81,reg,2018101407,OAK,SEA,6,2018,3.5,85.83333333,107.8333333,-22,-0.5,12,1,-2.166666667,-102.8333333,0.333333333,3.102777778,,
82,reg,2018101406,NYJ,IND,6,2018,-5.666666667,-20.16666667,-53,32.83333333,-0.5,-3.333333333,0.166666667,1.166666667,62.16666667,-2.333333333,-0.419444444,,
83,reg,2018101405,MIN,ARI,6,2018,8.333333333,158.3333333,152.1666667,6.166666667,0.5,12.66666667,-0.333333333,-1,-78.33333333,-2.666666667,6.086111111,,
84,reg,2018101401,CIN,PIT,6,2018,0.166666667,-29.33333333,-42.5,13.16666667,-2.166666667,-15,-0.5,-0.666666667,-34.5,-5.5,-0.986111111,,
85,reg,2018101402,CLE,LAC,6,2018,-3.333333333,-44.5,-66.5,22,1.5,8.833333333,0.666666667,4,179.1666667,4.666666667,-0.347222222,,
86,reg,2018101403,HOU,BUF,6,2018,6.333333333,151.3333333,144.1666667,7.166666667,0.833333333,-2.5,0.166666667,-1.666666667,-78.5,1,1.783333333,,
87,reg,2018101404,MIA,CHI,6,2018,-2.833333333,-4.333333333,2.333333333,-6.666666667,2.333333333,23.33333333,0.833333333,0.5,15.83333333,-3.166666667,-4.538888889,,
88,reg,2018101409,DEN,LA,6,2018,-3,-48,-54.16666667,6.166666667,0.833333333,4.333333333,0.5,2.833333333,108.1666667,-4.5,-1.002777778,,
89,reg,2018101411,TEN,BAL,6,2018,-7.5,-101.1666667,-111.5,10.33333333,-1.833333333,-14.33333333,0,-0.333333333,-5.666666667,4.5,-0.977777778,,
90,reg,2018101410,DAL,JAX,6,2018,-2.5,-68.5,-96.83333333,28.33333333,-1.166666667,-16.16666667,-1.5,-0.166666667,14.66666667,1.333333333,-0.458333333,,
